codice_istat,indice_istruzione
29030,24.78
12091,40.89
56033,33.63
39012,40.73
10031,25.2
78069,38.24
1140,23.76
21044,23.83
43023,52.82
4112,40.43
16131,25.23
66053,43.45
75039,50.15
102020,34.96
17099,29.56
30054,36.37
21046,27.98
44027,40.46
3090,37.21
4115,25.29
68022,39.91
23046,38.68
36020,34.42
12097,26.65
18086,37.92
1144,43.77
58057,49.12
4119,26.87
56034,38.43
19057,33.53
67047,36.6
12099,38.13
12100,39.75
66054,51.55
63044,39.08
28050,33.07
77014,53.13
71031,35.47
18088,29.11
16250,30.48
28051,32.29
80048,33.33
63045,31.67
8034,33.68
6093,28.83
41026,35.23
74010,35.42
101015,29.41
18092,31.04
82047,28.11
26042,32.01
88001,24.15
76002,35.39
87003,42.91
87005,45.41
17001,24.46
75001,27.32
15146,54.45
87025,28.65
9039,29.38
6094,27.58
27024,40.59
88006,40.17
97050,36.43
4123,26.34
66055,40.27
70039,24.64
94001,39.84
47002,28.35
80002,30.75
4125,27.97
1154,28.21
26044,32.25
6099,28.87
5070,38.72
68001,31.32
4001,31.79
63001,36.64
56001,38.25
3001,43.43
95002,23.21
86002,35.94
78005,21.9
97002,31.47
5071,38.36
96035,26.89
28055,38.84
6102,20.92
28056,37.44
5074,30.11
44032,35.26
57039,33.82
43027,22.05
24063,26.62
57043,33.39
42030,43.12
6002,28.04
22002,28.89
16004,32.73
13005,31.72
14002,31.67
70001,27.82
6001,37.57
33001,37.93
1001,36.04
17003,21.79
64052,34.46
6105,36.14
55018,34.1
65073,35.61
85011,33.11
36025,30.43
55019,39.42
24065,30.81
69053,25.64
57041,34.45
4138,21.35
13155,20.18
44044,31.19
52015,41.46
37041,39.99
75049,36.14
103047,26.99
21001,23.11
55002,35.06
16007,29.84
33002,33.87
13006,33.54
6007,33.89
26001,29.52
30001,35.23
62001,49.62
1003,30.31
68024,51.17
104016,26.28
97054,35.12
54033,39.74
70047,36.76
95085,17.52
75050,31.63
90042,23.09
1163,38.05
16141,23.31
42031,34.62
64064,28.39
24069,24.78
60006,42.13
1009,37.49
64003,37.14
51001,38.7
28004,22.58
21003,17.55
78012,38.21
58003,47.56
34001,31.47
71002,28.95
12002,36.98
83001,31.16
78085,38.96
16142,31.1
32003,35.25
75051,36.69
13160,25.51
102024,14.84
83060,34.45
21057,35.35
67031,43.77
13161,33.3
18103,26.27
30065,30.33
27026,38.87
60007,43.51
95006,32.46
